Function Name,Description,Syntax Example,Example Output,Scope,Source URL,Category
$add,This function performs the sum of two values or adds a given time span to a date time object.,"Column Value: $add(ColumnValue,ColumnValue)
Column name: $add(([ColumnDisplayName|ColumnInternalName]),Days:Hours:Minutes:Seconds)
Query List: $add(QuerylistActionName##ColumnInternalName,ColumnValue)
Variable: $add(WFActionName##ColumnInternalName,ColumnValue)","Column Value – $add(97, 3)
Output: 100
Column name – $add([Due Date|DueDate],2:0:0:0)
Due Date: 12/2/20
Output: 12/4/20
Query List – $add(GetPurchaseItem##Price,100)
GetPurchaseItem##Price: $1000
Output: $1100
WF Variable – $add(WFaction##Price,[TaxAmount|TaxAmount])
WFaction##Price: $1000
Tax Amount: $80
Output: $1080
Note: Source and Target columns should be of type Number, currency or Date Time.",Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$addmonths,This function adds a given number of months to a date time.,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$addmonths,,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$addmonths,Due Date: 12/2/20 Output: 5/2/21,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$addmonths,Due Date: 12/2/20 Output: 7/2/20 Note: Target field should be a Date Time column.,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$calcbusinesstime,This function adds business time to a given date time. Business time configuration is read from site regional settings. Go to site settings -> site administration -> Regional settings to check the existing business time and days setup for the site.,"Column Name: $calcbusinesstime([ColumnDisplayName|ColumnInternalName],Days:Hours:Minutes:Seconds)",Created: 12/2/20,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$calcbusinesstime,Output: 12/9/20 Note: Target column should be a Date Time column,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$calcdate,This function adds specified period to a date time object.,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$calcdate,,,Due date: 12/2/20,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$calcdate,Output: 5/2/21,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$calcdate,Output: 07/2/20 Note: Works with only Date Time columns.,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$divide,This function divides the first value by the second value. The arguments can be either direct values or placeholders of column values from the SharePoint list item.,"Column Value:  $divide(ColumnValue,ColumnValue)
Column name:  $divide(([ColumnDisplayName|ColumnInternalName]), ([ColumnDisplayName|ColumnInternalName]))
Query List:  $divide (QuerylistActionName##ColumnInternalName,ColumnValue)
Variable:  $divide (WFActionName##ColumnInternalName,ColumnValue)",,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$divide,Output: 4,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$divide,Total Cost: 30 Output: 10,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$divide,Var1##value: 30 Var2##value: 3 Output: 10,,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$firstitem,This function is used in Query List actions to capture the first item ID in an item collection and store this in a variable. This allows for running iterative loops through queried items to get beyond the 100-item query limit. Used in conjunction with $lastitem([ID|ID]) and variables.,QueryListName##$firstitem([ID|ID]),,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$formatvalue,"This function returns the given lookup or user column display value. This strips out the leading information that SharePoint adds to Person or Group columns, e.g. “22;#James Restivo”",,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$formatvalue,,,Requester: 22;#James Restivo,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$formatvalue,"Output: James Restivo Supported Columns in Parameters: lookup, person or group. More than two parameters can be used in this function. Note: Target column type should be string.",,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$jsonpath2,This function is similar to $jsonpath() defined further below in the documentation. $jsonpath gets the output as array of objects whereas $jsonpath2() directly gives us the element from the array. First Argument possible parameters: Literal/Custom Value:,"Other column value (Place holder of current item)
Other column value (Place holder of query list action executed prior to this)
Variable value","{“MovieDatabase”: {
“movie”: [{
“name”: “The Change-Up”,
“genre”: “comedy”,
“director”: “David Dobkin”,
“Facebook_like”: 252
},
{
“name”: “Rise of the Planet of the Apes”,
“genre”: “SciFi”,
“director”: “Rupert Wyatt”,
“Facebook_like”: 472
}]
}
}
Expression: $jsonpath2(JSON object, @$.MovieDatabase.movie[*].director)
Output: David Dobkin,Rupert Wyatt",Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$lastitem,This function is used in Query List actions to capture the last item ID in an item collection and store this in a variable. This allows for running iterative loops through queried items to get beyond the 100-item query limit. Used in conjunction with $firstitem([ID|ID]) and variables.,QueryListName##$lastitem([ID|ID]),,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
$lookupid,"This function returns the given lookup/user column’s ID. This is used to compare ID values of lookup items. For instance, by comparing a lookup value on one item to the lookup value on another item you can verify that it is the same value.",,,Workflows & Custom Actions,https://amalinpf.github.io/postfalls-nitro-reference/kb-html/Comprehensive%20list%20of%20Functions%20in%20NITRO%20Studio.html,
